back	adv.回原处?n.背?后面?adj.后面的?v.后退
salt	n.盐?v.腌?盐渍
hunt	n&v.狩猎?追捕?搜寻
clay	n.黏土?泥土?n.泥土， 黏土
turn	v.转动?扭转?(使)变成
weather	n.天气?气象?v.风化?经受风雨(侵蚀)
popular	adj.流行的?通俗的?受欢迎的?adj.通俗的； 受欢迎的； 流行的
consider	v.考虑?认为
necessary	adj.必要的?必然的?n.必需品
researcher	n.研究者?调查者
upper	adj.上面的?上部的
wide	adj.宽阔的?广泛的
forest	n.森林?v.种植于
learn	v.学会?学习?得知
select	v.选择?挑选?adj.精选的
improve	v.改善?改进?v.改善， 改进， 增进； 好转， 进步
western	adj.西方的?西部的?n.西方人
lake	n.湖
factory	n.工厂?制造厂
school	n.学校?学院?v.教育
warm	a&ad.温暖的?v.变暖?使暖和
scientific	adj.科学的?adj.科学的； 细致严谨的
political	adj.政治的?政党的
ant	n.蚂蚁
affect	v.影响?作用?vt.影响； 感染
fit	v.适合?适应?安装
metal	n.金属?v.(以金属)覆盖、装配
importance	n.重要(性)
native	adj.本国的?本土的?当地的?n.本地人
valley	n.山谷
short	adj.短的?矮的
foot	n.足?脚
style	n.风格?式样
national	adj.国家的?民族的
near	adv.在近处?v&prep.靠(接)近?adj.接近的
person	n.人
formation	n.形成?构成?编队?n.形成， 构成； 形成物； 编队
deer	n.鹿
past	adj.以前的?prep&ad.经过?过?n.过去
say	v.说?表明
flow	n&v.流动?淹没
break	n.休息?v.打破?弄坏?v.破，裂，碎；使中止，打断，断绝；损坏，弄坏；违犯；打破；破晓?n.打断， 中止； 休息时间； 破裂
low	a&ad.低(的)?低下(的)
seed	n.种子?v.播种
perhaps	adv.也许?可能
steam	n.蒸汽v蒸?蒸发
picture	n.画?照片?v.描绘?构想
east	n.东(方，部)a东方(部)的?adv.向东方
agriculture	n.农业?农学
field	n.田地?领域
experiment	n.试验?v.尝试?做实验
itself	pron.它自己
relate	v.叙述?使有联系?有关联?v.叙述， 讲述； 有关联
yet	adv.还?已经?conj.然而
speed	n.速度?v.加速?急行
thousand	n.一千(个)?许许多多?成千上万
print	v.印刷?冲洗(照片)
tradition	n.传统?惯例
goods	n.货物?商品
iceberg	n.冰山?冷若冰霜的人?n.冰山； 冷冰冰的人
our	pron.我们的
man	n.男人?人(类)
store	v.储存?贮藏?n.商店
depend	v.依靠?取决于?v.依靠， 依赖； 取决于
heavy	a&ad.重的?大量的
general	adj.普遍的?概括的
story	n.故事?小说
technology	n.工艺?技术
rain	n.雨?v.下雨
predator	n.掠夺者?食肉动物?n.捕食性动物， 食肉动物； 掠夺者， 剥削者
against	prep.反对?逆?防御
biological	adj.生物(学)的
nature	n.自然(界)?本性
teacher	n.教师
off	adv.掉(下)?离开?停止
town	n.城市?城镇
architecture	n.建筑?建筑学
train	v.训练?培训
least	ad&a.最小的?最少的?adv.最小； 最少； 微不足道?adj.最小的；最少的；最不重要的
pass	v.通过?经过
always	adv.总是?一直?始终
normal	adj.正常的?正规的
mineral	n.矿物?矿石
knowledge	n.知识?学问
ask	v.询问?请求?邀请
slow	adj.慢的?v.放慢?减速
canal	n.运河?沟渠?n.运河，沟渠?vt.开运河
name	n.名字?v.命名
draw	v.画?拖?移动?v.吸引，招引；画，描绘；拖，拉；引起，激起；拨出，抽出；提取，支取；推断出；打成平局?n.平局， 和局； 抽签
theater	n.戏院?剧场
above	prep.在…上方?多(大?高)于?adv.在上面
especially	adv.特别?尤其
central	adj.中心的?主要的?重要的
quickly	adv.快速地
every	adj.每个?一切的?每隔
successful	adj.成功的?圆满的
surround	v.包围?环绕?v.包围， 圈住； 围绕， 环绕
act	v.行动?表演?n.行为
Canada	n.加拿大
test	n&vt.试验?测试
glacial	adj.冰川(期)的?非常冷的?adj.冰川期的， 冰河时代的； 寒冷的， 冰冷的； 冷若冰霜的
sense	v.感觉?意识到?v.觉得， 意识到?n.感官，官能；感觉；判断力；意义，意思
eat	v.吃
single	adj.单一的?单个的?独身的
quality	n.质量?品质?性质?adj.优良的， 优质的?n.质，质量；品德，品质；性质，特性
teach	v.讲授?教授
continent	n.大陆?洲?n.大陆， 陆地； 洲
northern	adj.北方的?北部的
separate	v.分开?隔开?v.分离； 划分； 区别； 分居?adj.分离的； 个别的
cost	n.价格?成本?v.花费?使付出
transportation	n.运输(工具、系统)?n.运输； 运输系统， 运输工具
discovery	n.发现?发现物
parent	n.父母亲
England	n.英格兰
rural	adj.农村的?adj.乡村的， 农村的； 田园的
get	v.获得?得到
easily	adv.容易地
channel	n.[常pl]通道?渠道?n.频道； 渠道， 途径； 通道； 海峡； 水道， 航道
belong	v.属于
swim	n&v.游泳
southern	adj.南的?南方的
worth	prep.相当于…价值的?值得…的?n.价值?adj.值…的，价值…的，值得…的?n.价值； 财产
run	v.跑?运转?经营
basic	adj.基本的?基础的?adj.基本的， 基础的； 初步的， 初级的
crystal	n.水晶?n.水晶；晶体，
explanation	n.解释?说明
hundred	n.百?[pl]数以百计
beg	v.请求?乞求
rapid	adj.快的?迅速的
locate	v.定位?把…设置在?vt.使坐落于； 找出， 定位
across	prep.穿过?在对面?adv.横过；到对面，向对面?prep.穿过， 越过； 在对面
whose	pron.谁的?那(些)人的
resource	n.资源?n.资源〔指土地、矿产等〕?v.向…提供资源
eastern	adj.东方的?东部的
half	n&a.一半?半个的
course	n.过程?课程?n.课程， 教程； 过程， 进程； 路线； 一道菜
date	n.日期?时期?v.追溯到?n.日期，日子；时期，年代；约会；
merchant	n.商人
face	n.脸?v.面向?面对
coast	n.海岸?海滨
machine	n.机器?机械
twentieth	num.第二十?二十分之一
throughout	prep.遍及?贯穿?adv.始终
special	adj.特别的?特殊的
plate	n.盘子?碟?n.盘子；板条，板材；号码牌?vt.镀， 电镀； 覆盖
mark	n.痕迹?记号?v.做标记
atomic	adj.原子的?原子能的?adj.原子的； 原子能的
rapidly	adv.迅速地
wood	n.木头?木材
leader	n.领导者
fire	n.火?v.开火?解雇?点燃
entire	adj.全部的?整个的
difficulty	n.困难?难点
core	n.核心?要点?n.地核；果心，核心；要点，精髓?vt.去掉…的中心部分
easy	adj.容易的?轻松的
adult	n.成年人
cold	adj.(寒)冷的?n.(寒)冷?感冒
education	n.教育
railroad	n.铁路?v.由铁道运输?v.在铁路公司工作
law	n.法律
unlike	adj.不同的?prep.不象…
brain	n.脑?头脑
carbon	n.碳
return	v.返回?恢复?归还
cell	n.单元?细胞?n.细胞； 基层组织； 单人房间； 电池
either	adv.[否]也?a&pron.任一的
company	n.公司
grass	n.草
hour	n.小时?钟点
prevent	v.防止?预防
per	prep.每?每一
sell	v.出售?卖
damage	v&n.损害?毁坏
unusual	adj.异常的?独特的
lie	v.躺?说谎
wall	n.墙?v.围住?隔开
artisan	n.工匠?技工?n.工匠， 手艺人
meteorite	n.陨石? 流星?n.陨石
cool	v.冷却?(使)冷静
daily	adj.每日的?日常的
Africa	n.非洲
want	v.想要
third	num.第三?三分之一
volcanic	adj.火山的?猛烈的
organization	n.组织?机构?团体
bone	n.骨?骨骼
protect	v.保护
labor	n.工人?v.劳动
degree	n.学位?程度?度数?n.程度； 度数； 学位； 等级
revolution	n.革命?n.革命； 巨变； 旋转
read	v.读?理解
receive	v.接到?收到?接待
route	n.路线?途径
statue	n.塑像?雕像?n.雕像
meter	n.米?公尺
motion	n.运动?动作?v.做动作， 示意?n.运动，移动；动作；提议，动议
you	pron.你?你们
stage	n.舞台?阶段?n.阶段；步骤；舞台；戏剧?vt.上演； 筹划
cut	v.切?割?剪
winter	n.冬季?v.过冬
eventually	adv.最后?终于
dinosaur	n.恐龙
meet	v.遇见?见面
whether	conj.是否?不管?无论
slowly	adv.慢慢地?迟缓地
thing	n.东西?事情
facial	adj.脸部的?面部的?adj.面部的； 面部用的
liquid	n.液体?adj.液体的?adj.液体的，液态的，流体的；清澈的；流畅的?n.液体； 液态
cultural	adj.文化的?教养的
differ	v.不同?有区别?n.区别
never	adv.决不?从未
science	n.科学
whig	n.辉格党
newspaper	n.报纸
party	n.政党?聚会
data	n.数据?资料
coal	n.煤
happen	v.发生?碰巧?出现
five	num.五?五个
cretaceous	n&a.白垩纪(的)
book	n.书
quite	adv.相当?完全?十分
already	adv.已经?adv.已， 已经
nearly	adv.几乎?差不多
collect	v.收集
sand	n.沙?沙子
hot	adj.热的?辣的?强烈的
terrestrial	adj.陆地的?adj.陆地的， 陆生的， 陆栖的； 地球的
leaf	n.叶子
star	n.星?明星?v.以星状物装饰?变成演员
groundwater	n.地下水
international	adj.国际的?世界的
serve	v.服务?担任
root	n.根?v.生根?扎根
huge	adj.巨大的?庞大的
put	v.放?安置
distance	n.距离?路程
egg	n.蛋
opinion	n.意见?看法
cause	v.引起?使发生?n.原因
eye	n.眼睛
introductory	adj.引导的?介绍的
weight	n.重量?负担?v.加重量于
student	n.学生
presence	n.出席?存在
accept	v.接受?承认?同意
colony	n.殖民地?n.群， 群体； 殖民地； 聚居地
gradual	adj.逐渐的?逐步的?adj.逐渐的， 逐步的； 坡度平缓的， 不陡的
piece	n.片?块?v.拼合(凑)
service	n.公共设施?服务?v.服务
destroy	v.破坏?毁灭?消灭
memory	n.记忆(力)?回忆
perform	v.执行?履行?表演?v.做， 履行， 完成； 表演， 演出； 执行
soon	adv.不久?很快
success	n.成功?成就
generation	n.一代人(或产品)?产生?发生
link	v.连接?联系?n.联系
blood	n.血?v.流血
step	n.(脚)步?步骤?台阶?v.行走?踏上
stand	v.站?坐落?处于
plan	n.计划?v.计划?设计
helium	n.氦
regular	adj.规则的?定期的?adj.规则的， 有规律的； 整齐的， 匀称的； 频繁的， 经常的； 正常的； 经常的； 正规的， 正式的
effort	n.努力?成就
mile	n.英里
next	n&a.下一个的?prep.靠近
actual	adj.实际的?真实的
finally	adv.最后?终于
serious	adj.严肃的?认真的?严重的
clock	n.时钟
fine	adj.好的?优质的?健康的
mar	n.污点?瑕疵?v.破坏?vt&n.损坏， 损毁
Dutch	n.荷兰人?adj.荷兰的
African	n.非洲人?adj.非洲的
rich	adj.富有的?n.有钱人
instead	adv.代替?反而?adv.代替， 顶替； 反而， 却
democrat	n.民主主义者?美国民主党人?n.民主主义者； [D-]民主党人
aquifer	n.含水土层?蓄水层?n.含水土层
road	n.道路?途径
wire	n.金属丝?电线?v.安装电线?发电报
Australia	n.澳大利亚
price	n.价格?价值?v.给…定价?估价
bottom	n.底部?底端
Greek	n.希腊人?adj.希腊的
business	n.商业?事务?生意
immediate	adj.直接的? 立即的?adj.即刻的； 当前的； 最接近的； 紧接的， 紧靠的
crater	n.弹坑?n.火山口； 坑
feed	v.喂养
aggression	n.进攻?侵略?n.侵略； 敌对的情绪或行为
master	v.控制?精通?n.主人
nation	n.国家?民族
import	vt&n.进口?输入?[pl]进口商品?n.进口， 输入； 意义， 要旨， 重要性?vt.进口， 输入
muscle	n.肌肉?n.肌肉； 体力， 力量， 实力； 影响力
organize	v.组织?安排
personal	adj.私人的?个人的?adj.个人的， 私人的； 亲自的
careful	adj.小心的?仔细的
danger	n.危险(物)
equal	adj.同样的?v.等于?adj.相同的?vt.等于；相当于?n.同等的人； 相等的事物
publish	v.出版?发表
bear	v.忍受?承担
total	adj.全部的?完全的?n.总数
season	n.季节?n.季节； 时节； 时期
useful	adj.有用的?有益的
breathe	v.呼吸
park	n.公园?v.停放(汽车等)
pheromone	n.<生化>信息素?n.信息素
loss	n.丧失?遗失?损失
pay	v.付款?给予(注意等)?付出代价?n.工资
simply	adv.简单地?adv.简单地， 简明地； 简直； 仅仅， 只； 朴素地， 简朴地
real	adj.真的?真实的
era	n.时代?纪元?n.纪元， 年代， 时代； 代
standard	n.标准?规格?adj.标准的?n.标准，准则
task	n.任务?作业
speak	v.说话?谈话
British	adj.英国(人)的?n.英国人
mine	n.矿?v.采矿?pron.我的?v.开矿，采矿；在…布雷?n.矿， 矿井； 地雷， 水雷
geologist	n.地质学者
attention	n.注意?关心?n.注意， 留心； 立正
again	adv.再?又
prove	v.证明?证实
eighteenth	num.第十八?十八分之一
opportunity	n.机会?n.机会， 时机
continuous	adj.连续的?持续的
flower	n.花?v.开花?繁荣
stratum	n.地层?阶层?n.岩层；地层
kilometer	n.千米?公里
red	n&a.红色(的)
prefer	v.更喜欢?宁愿?v.更喜欢， 宁愿
Mediterranean	n.地中海
fungus	n.真菌?真菌类植物?n.真菌
pot	n.罐?壶
fuller	n.漂洗工
month	n.月
hydrogen	n.氢
depth	n.深度
upon	prep.在之上
visible	adj.看得见的?显而易见的?adj.看得见的， 明显的
belief	n.信念?信仰
enable	v.使能够?使可能
money	n.钱?货币
note	n.便条?笔记?v.注意?记录
flood	v.淹没?充满?n.洪水
black	adj.黑暗的?黑人的
soldier	n.士兵?军人
artistic	adj.艺术的?adj.艺术的； 富有艺术性的， 精美的； 有艺术天赋的
big	adj.大的
fast	a&ad.快的?迅速的
drop	v.下降?放弃?n.下降
nitrogen	n.氮
surprise	n.惊奇?v.使惊奇
television	n.电视(机)
Asia	n.亚洲
painter	n.画家?油漆匠
birth	n.出生
English	n&a.英语?英国人(的)
agree	v.同意?赞成
expensive	adj.昂贵的?高价的
approximate	adj.近似的?大约的?v.近似?接近?adj.大约的， 近似的?vt.接近， 近似
shop	n.商店?v.买东西
push	n&v.推?推动
wear	v.穿?戴?v.穿，戴；留；面露，面带；磨损，用旧?n.穿戴， 衣着； 服装， 穿戴物； 磨损， 损坏
dye	n.染料?v.给…染色?v.染色?n.颜料，染料
future	n.未来?将来
share	v.分享?分担
writer	n.作者?作家
fee	n.费? 酬金
tell	v.告诉?讲述
bill	n.帐单?v.开帐单?n.账单；纸币，钞票；议案，法案；节目单；招贴，海报?vt.用招贴宣布； 给…开账单
topic	n.话题?主题
spring	n.春天?泉?v.跳?涌现?v.跳跃；涌现，突然出现；突然提出?n.泉； 弹簧， 发条； 春天； 跳， 跃
lightning	n.闪电?adj.闪电般的， 快速的
connect	v.连接?联系
folk	n.人们
photograph	n.照片?相片?v.拍照?n.照片
village	n.村庄
thin	a&ad.薄、细、瘦(的)
beneath	prep.在…下?(地位等)低于?adv.在下方
university	n.(综合)大学
invention	n.发明?创造
technological	adj.科技的?adj.技术的， 工艺的
death	n.死?死亡
wave	n.波(浪)?v.挥动?波动
explosion	n.爆炸?爆发?n.爆炸； 爆发； 激增
class	n.阶级?班级?课
moon	n.月球?月亮
indeed	adv.真正地?的确?事实上
prepare	v.预备?准备?v.准备， 预备
cotton	n.棉花
crust	n.外壳?硬壳?面包皮?n.地壳； 外壳； 硬的表面； 面包片
discussion	n.讨论
floor	n.地面?地板
fiber	n.光纤?n.纤维素； 纤维制品； 纤维
geological	adj.地质学的
escape	v.逃跑?逃脱
dense	adj.密集的?浓厚的
reflection	n.反映?考虑?n.反映； 映像； 深思， 考虑； 回忆； 记录， 描述
whole	adj.全部的?完整的
increasingly	adv.日益?愈加
advertisement	n.广告
top	n.顶部?顶端
nutrient	n.营养品?adj.营养的?adj.滋养的， 有营养的?n.滋养物，营养品
ten	num.十?十个
pastoralist	n.田园诗的作者?牧民
Britain	n.英国
search	v.搜寻?调查
leatherback	n.棱龟(大海龟之一种)
boundary	n.边界?分界线?n.分界线； 边界
sky	n.天?天空
steel	n.钢?钢铁
thick	adj.厚的?粗的
fail	v.失败?没有通过
Atlantic	n.大西洋?adj.大西洋的
computer	n.计算机?电脑
fruit	n.水果?果实
Cambrian	n.威尔斯人
free	a&ad.自由的(地)?免费的(地)?v.解放
freeze	v.(使)结冰?(使)冷冻?v.结冰， 凝固
climatic	adj.气候上的
musical	adj.音乐的?悦耳的?adj.音乐的；悦耳的；有音乐天赋的，爱好音乐的?n.音乐剧
familiar	adj.熟悉的?常见的
Chinese	n&a.中国人(的)
shelf	n.架子?搁板
microscope	n.显微镜
map	n.地图?v.绘制地图
cue	n.暗示?提示?n.暗示， 提示
civilization	n.文明?文化
model	n.模型?v.模仿?展示
seventeenth	num.第十七?十七分之一
skin	n.皮肤
inside	ad&prep.在…里面?少于?n&a.里面(的)
rainfall	n.降雨?降雨量?n.降雨； 降雨量
try	v&n.尝试?试验
something	pron.某事?某物?adv.有点?大约
gain	n&v.获得?增益
habit	n.习惯?习性?n.习惯； 习性， 脾性
famous	adj.著名的?出名的
buy	v.买?n.购买?买卖
sleep	vi&n.睡?睡觉
decision	n.决定?决议
remember	v.回忆起?记得
due	adj.应有的?n.应得物?adj.到期的； 预期的； 应得的； 恰当的， 适当的； 应支付的
song	n.歌(曲)
soft	adj.软的?温和的?adj.柔软的； 柔和的； 不强烈的； 心肠软的； 软性的
lichen	n.青苔?苔藓?n.青苔， 地衣
car	n.汽车
habitat	n.栖息地?住处?n.自然环境， 栖息地
bur	n.刺果
California	n.加利福尼亚?加州
trail	n.踪迹?v.追踪
average	n&a.平均(的)?v.平均?adj.平均的；一般的；平庸的?v.平均为?n.平均水平；平均数
here	adv.在这里?这时
nor	conj.也不
stud	v.镶嵌?点缀
proportion	n.比例?n.比例； 部分； 均衡， 相称
geometric	adj.几何(学)的?adj.几何的， 几何学的
inner	adj.内部的?里面的?内心的?adj.内部的；内心的?n.内部； 内心
resemble	v.象?类似于?vt.与…相似， 像
dark	n.黑暗
wild	adj.野生的?n.荒野
ton	n.吨?大量
ship	n.船?v.航运?载运
significance	n.意义?重要性
Mexico	n.墨西哥(拉丁美洲国家)
ordinary	adj.平常的?普通的
case	n.事例?情形
Rome	n.罗马
permit	n.通行证?执照?v.许可?允许?v.允许， 许可?n.许可证， 执照
fully	adv.充分地?完全地
factual	adj.事实的?实际的?adj.实际的， 真实的， 事实的
tiny	adj.很少的?微小的
mouth	n.口?嘴
Philadelphia	n.费城(美国宾西法尼亚州东南部港市)
warmer	n.使热的人?温热装置
rest	n&v.休息
leg	n.腿?v.走?跑
paleolithic	adj.旧石器时代的?n.旧石器时代
hear	v.听到?听说
crow	n.乌鸦?v.啼叫?v.啼叫， 打鸣； 得意洋洋
spend	v.花费?度过
minute	n.分钟?片刻?adj.细微的， 极小的； 细致入微的， 详细的?n.分， 分钟； 一会儿， 片刻； 时刻
Washington	n.华盛顿
unit	n.个体?(计量)单位
improvement	n.改进?进步
fear	n.恐怖?害怕?v.害怕?畏惧
feather	n.羽毛?轻的东西
inch	n.英寸
ecologist	n.生态学者
exercise	n&v.运动?练习
Indian	n.印度(人)
independent	n.中立派?无党派者?adj.独立的， 自主的； 自立的； 不相干的， 不受影响的； 无偏见的， 中立的； 私立的； 有主见的； 无党派的
neighbor	n.邻居?邻国
divide	v.分?划分
creature	n.创造物
billion	n&a.十亿(的)
die	v.死亡
edge	n.边(缘)?v.侧着移动?徐徐移动?v.徐徐移动； 略为增加； 给…加边?n.边，边缘；刀口，刃；优势
ever	adv.曾经?永远
job	n.工作?职业
protection	n.保护
timberline	n.树带界线
regard	n.尊敬?v.看待?当作
nothing	pron.没有什么?n.没有?adv.毫不
petroleum	n.石油
summer	n.夏季
boat	n.小船?艇
moisture	n.潮湿?湿气?n.潮湿， 湿气
vapor	n.水蒸气?n.蒸气， 潮气
equipment	n.装备?设备
cattle	n.牛?家养牲畜
six	num.六?六个
underground	adj.地下的?地面下的?adv.在地下， 往地下； 秘密地， 不公开地?adj.地下的； 秘密的， 不公开的 记 组合词： under + ground → 地下的
jazz	n.爵士乐
Maya	n.玛雅人?玛雅语
poor	adj.贫穷的?可怜的
acorn	n.橡树果?橡子
employ	v.雇用?vt.用，使用；雇用?n.受雇， 雇用
pump	n.泵?抽水机?n.泵?vt.抽
industrialization	n.工业化?产业化
suitable	adj.适当的?相配的
tie	v.扎?捆绑
chance	n.机会?v.碰巧， 偶然发生； 冒…的险?n.机会；可能性，偶然性；偶然的事
civil	adj.公民的?文明的?adj.市民的， 公民的， 平民的； 民事的； 国家的， 政府的； 文明的， 有教养的
prehistoric	adj.史前的?adj.史前的； 陈旧的
hunter	n.猎人
Florida	n.佛罗里达(美国州名)
game	n.比赛
obsidian	n.[矿]黑曜石
migratory	adj.迁移的?流浪的
nestling	n.尚未离巢的小鸟?婴孩
sculptor	n.雕刻家
complicate	v.(使)变复杂
progress	n&v.前进?进步?发展
kill	v.杀死?毁掉
president	n.总统?会长?n.总统， 校长， 主席
final	adj.最后的?最终的
finish	n&v.完成?结束
alder	n.[植]桤木
title	n.标题?v.加标题于?赋予称
street	n.街道
collection	n.收藏(品)
seven	num.七?七个
mix	v.使混和?混淆
document	n.公文?文件?v.记载
waste	v&n.浪费?adj.无用的，废弃的；荒芜的?n.浪费；废料，废弃物?vt.浪费， 消耗
scholar	n.学者?n.学者； 奖学金获得者
join	v.参加?加入?连接
pullman	n.卧车?普式火车
raw	adj.自然状态的?生的?原始的?adj.生的， 未烹制的； 自然状态的， 未经加工的； 生疏的， 无经验的； 粗犷的； 原始的， 未经处理的
horse	n.马
textile	n.纺织品
rocky	adj.岩石的?稳固的
care	n&v.关心?担忧?照顾?v.关心， 关怀； 介意； 担忧?n.小心，谨慎；照看，照料；忧虑，焦虑
citizen	n.市民?公民
desertification	n.荒漠化?沙漠化
gold	n.黄金?金币?adj.金的
analyze	v.分析?分解?vt.分析， 研究
night	n.夜?夜晚
army	n.军队
front	n&a.前面(的)?v.面向
seek	v.寻找?探索
ogallala	n.奥加拉拉(美国地名)
sophisticate	adj.诡辩的?久经世故的
archaeological	adj.考古学的
unknown	adj.不知道的?未知的
tooth	n.牙齿
twenty	num.二十?二十个
office	n.办公室?事务所
wet	adj.湿的?多雨的
archaeologist	n.考古学家
neither	a&pron.两者都不?conj.既不也不
cetacean	n.鲸类动物
sunlight	n.日光?阳光
plankton	n.浮游生物
radio	n.收音机?无线电
enter	v.进入?参加
key	n.关键?钥匙
silver	n.银?v.镀银
hole	n.洞?孔?v.凿洞
nearby	adj.附近的?邻近的?adv.在附近
yellow	n&a.黄色(的)
diameter	n.直径
neanderthal	adv.穴居人的
French	n&a.法国(人)(的)
exact	adj.精确的?准确的?adj.精确的，准确的；严谨的，严格的；
behind	prep.在…后?落后于?adv.在后面
enjoy	v.享受?喜爱
beach	n.海滩?n.海滩， 湖滩， 河滩
technical	adj.技术的?技巧的?adj.技术的， 工艺的； 专业的
drive	n&v.驾驶
respect	n&v.尊敬?敬重?vt.尊重，尊敬；遵守?n.尊敬， 尊重； 重视； 方面
guild	n.行会?协会
nile	n.尼罗河
decoration	n.装饰(品)
radiation	n.放射物?辐射?n.放射； 辐射； 放射物， 放射线； 辐射的热
height	n.高度?海拔
butterfly	n.蝴蝶
asteroid	n.小行星
him	pron.他
burn	v.烧?n.烧伤
export	v&n.输出?出口
flash	n&v.闪光?闪现?vi.闪光； 反射?n.闪光；闪现
secondary	adj.次要的?二级的
pottery	n.陶器?n.陶器； 陶器厂， 制陶作坊； 制陶工艺， 陶器制造术
chimpanzee	n.黑猩猩
onto	prep.在之上
harvest	n.收获?v.收获?收割
Australian	n.澳大利亚(的)
conclusion	n.结束?结论
pull	v.拉?拖?拔
movie	n.电影
projection	n.发射
stretch	v&n.伸展?延伸?v.延伸， 拉长?n.一段路程；延伸
goal	n.目的?目标
requirement	n.需求?要求
operate	v.操作?运转?v.运转， 开动； 动手术； 经营， 管理； 起作用
zone	n.地域?地带?v.分成区?vt.将…划做特殊区域；分区，划分地带?n.地区， 地域， 地带； 气候带
pastoralism	n.田园主义?牧歌体
geologic	adj.地质的
pleistocene	n&a.[地]更新世(的)(一段时期)
snowfall	n.降雪?降雪量
musician	n.音乐家?n.音乐家， 乐师
Netherlands	n.荷兰[国家]
choose	v.选择?选定
unable	adj.不能的?不会的
seawater	n.海水
Chicago	n.芝加哥
walk	v.行?走?n.步行
Health	n.健康
active	adj.积极的?活跃的?起作用的
pure	adj.纯的?纯粹的?adj.纯洁的； 纯净的； 完全的； 纯理论的， 抽象的
stay	v&n.逗留?保持?延缓
send	v.发送?派遣
copper	n.铜?警察?n.铜； 铜币
engineer	n.工程师?v.设计?建造
investment	n.投资?可获利的东西
Boston	n.波士顿
opportunist	n.机会主义者?投机取巧者
dependent	adj.依靠的?依赖的
week	n.星期?周
balance	n.平衡?v.使平衡?vt.使平衡，使均衡?n.天平， 秤； 平衡； 差额； 余款
pollution	n.污染
mother	n.母亲
repeat	n&v.重复?重做?使再现
ridge	n.背脊?山脊?n.脊； 山脊， 山脉； 高压脊； 隆起物
accumulation	n.积聚?堆积物
Alaska	n.阿拉斯加州(美国州名)
millennium	n.太平盛世?一千年?n.一千年，千年期
somewhat	adv.稍微?有点?有些?adv.稍微， 有点
China	n.中国?瓷器
favorable	adj.赞成的?有利的
broad	adj.宽的?广泛的
risk	vt&n.冒险?风险
antarctica	n.南极洲
kinetoscope	n.活动电影放映机
enlarge	v.扩大? 放大
defense	n.国防部?防卫?n.防御， 防卫
intensity	n.强度?强烈
relation	n.关系?联系
exhibition	n.表现?展览会
arid	adj.干旱的?贫瘠的?adj.干旱的； 贫瘠的； 无趣的
erode	v.侵蚀?腐蚀?v.侵蚀， 腐蚀
promise	vt&n.允诺?答应
wooden	adj.木制的
stick	n.棍?v.刺?戳?v.刺，戳，插；粘住，粘贴；放置；卡住?n.棍， 棒； 手杖
glaciation	n.冻结成冰?冰河作用
stencil	n.模版?蜡纸?v.用蜡纸印刷
tail	n.尾巴?v.跟踪?尾随
France	n.法国?法兰西
apart	adv.相间隔?分离?adj.分离(隔)的
gull	n.海鸥?v.欺骗?n.鸥， 海鸥
herbivore	n.草食动物?n.食草动物
tornado	n.龙卷风?n.飓风， 龙卷风
loud	a&ad.高声的?大声地
realize	v.认识到?了解
shallow	adj.浅的?adj.浅的；
southeast	n&a.东南(的)
northwest	n&a.西北方(的)
lung	n.肺?呼吸器
temperate	adj.温和的?适度的?有节制的?adj.气候温和的， 温带的； 温和的， 自我克制的
